participant,duration,condition,1,2,3,4,5,bad,neutral,good,strategy,gender,age
26,186,1,100,83,61,67,83,1,0,0,"I could not come up with a percentage that made mathematical sense, so I went with what I felt was best.",2,29
27,421,1,100,100,100,100,100,1,0,0,"I consider any vote towards corporal punishment to be 100% responsibility since they wanted the outcome, regardless of how many members needed to vote for the bill to pass. It's easy to say that other people voted for it too but that's a small enough group where every single person's actions are significant.",2,20
28,517,1,20,50,25,33,20,1,0,0,Nobody is fully responsible for the motion being passed in parliament. It was a decision made by a number of people so I shared the responsibility of it being passed equally with percentages. ,2,23
29,132,1,95,70,96,90,90,1,0,0,The amount of votes required for the motion to pass ,1,21
30,449,1,100,100,100,100,50,1,0,0,"if it was only one vote that was needed for the law to be legalised, then whoever voted for a pass was 100% responsible, regardless of how many did.   in this sense, if there were 2 votes needs for the law to pass, then whoever voted was 50% responsible, regardless of how many voted for the law to pass. because their one individual vote couldn't have made it pass, someone else needed to vote too. so they are only half responsible. ",2,19
31,338,1,100,100,100,100,100,1,0,0,if they are vote to agree then they are responsible,2,34
32,114,1,61,56,54,55,53,1,0,0,not sure,1,24
33,363,1,20,20,20,20,20,1,0,0,They all had the same influence I felt ,2,32
34,235,1,99,100,68,98,55,1,0,0,assuming if they voted for the rule then they all share responsibility ,1,21
35,166,1,100,100,100,100,100,1,0,0,"If they voted for the resolution, they had 100% of the blame.",1,18
36,443,1,100,90,40,100,64,1,0,0,"I didn't decide based off exact proportion, I generally decided based of a good deal more than exact proportion, because a big reason why the motion was passed was because people like these committee members are what's normalizing it in the first place",2,20
37,267,1,98,77,77,79,83,1,0,0,How many votes were needed to pass in relation to amount of votes,2,18
38,418,1,100,50,50,50,50,1,0,0,i said that all the people who voted for where partl responsible ,1,30
39,339,1,100,50,75,75,100,1,0,0,I was using percentage of the vote ,2,27
40,696,1,100,100,100,100,100,1,0,0,exercising equality among all members then my judgement is based on the fact that majority carries the vote,2,31
41,398,1,100,100,100,50,50,1,0,0,"How many votes were needed as a percentage of total, eg if 1 vote was needed each person was 100 percent responsible as it didn't matter how the other voted. Likewise, if 5 votes were needed each person who voted was 20% responsible",2,28
42,329,1,95,50,50,66,50,1,0,0,How many voted for yes,2,31
43,428,1,100,75,25,33,20,1,0,0,"One factor that influenced my decision was how many votes were required to pass the motion and how many people voted for it to be passed.  The less votes required, then the more responsibility people had and the more people that voted yes, the less responsibility each person took.",1,21
44,258,1,87,89,90,90,90,1,0,0,Whether or not they voted for corporal punisement,1,19
45,251,1,70,65,60,70,75,1,0,0,They were all equal to blame if they agreed but not 100% due to possible outside pressures,2,25
46,223,1,99,99,98,93,98,1,0,0,"It only required one person to pass the motion, hence all were extremely responsible in all scenarios",2,26
47,179,1,100,100,100,100,100,1,0,0,Whoever voted for the punishment was 100% responsible.,1,32
48,512,1,100,100,100,100,100,1,0,0,"They were all equally responsible in my view. I did think about dividing responsibility equally, so 4 yes would be 25%, but then decided each was 100% responsible as only a yes/no or 0/100",1,46
49,479,1,100,80,80,80,80,1,0,0,A  pass vote no matter the numbers involved to me means a strong responsibility for the voter. ,1,27
50,245,1,5,10,30,30,20,1,0,0,I mostly just used percentages. It had to do with how many voted and how many didn't,1,19
51,341,1,100,50,25,32,0,1,0,0,I wouldn't want my children hit,2,27
52,565,1,100,50,25,33,20,1,0,0,"The votes are cast simultaneously, and in theory each member determines their vote independently. Therefore, all members who vote in favor share equal responsibility for the positive outcome.",2,31
53,227,1,100,100,99,100,100,1,0,0,They had voted to pass motion,2,32
54,392,1,100,100,100,100,100,1,0,0,How i see it is eveyone who voted for it has to accept full responsibility for their actions due to my belief in self-determination. Unless they are blackmailed and/or coerced into voting they are all fully responsible for the re-introduction of corporal punishment.,1,20
55,425,1,100,75,1,50,20,1,0,0,Number of votes needed was how I calculated responsibility.,2,24
56,305,1,85,85,85,85,0,1,0,0,I looked at how many were for and against and went for a reasonable high number the majority ,2,22
57,249,1,100,100,100,100,53,1,0,0,How many votes were required to pass the motion,2,33
58,264,1,100,100,100,100,100,1,0,0,"Anyone who voted for it is condoning it, and is responsible for the action.",1,27
59,170,1,100,100,100,100,100,1,0,0,Anybody who voted in favour was 100% responsible,1,28
60,202,1,50,100,100,100,100,1,0,0,checked the for and against ticks for each person,1,21
61,478,1,100,50,25,33,50,1,0,0,"Depending on how many votes were required to pass the motion, share the percentage out between the people who voted for.",2,28
62,313,1,100,100,100,100,100,1,0,0,"All of them are equally responsible. If they voted yes, it's their fault,",2,25
63,180,1,100,99,100,100,100,1,0,0,Whoever voted for corporal punishment should be deemed responsible.,2,23
64,263,1,100,100,100,99,100,1,0,0,If they agreed or disagreed ,2,30
65,249,1,51,73,23,65,46,1,0,0,I don’t know,2,19
66,176,1,99,52,66,67,30,1,0,0,Tried to assign a fair value without bias.,1,20
67,256,1,100,100,50,70,50,1,0,0,I based my decision on how many voted and how many were needed. ,1,30
68,577,1,100,100,100,80,90,1,0,0,"The more people required to pass the vote the less responsibility they had, unless everyone of the members was required to be unanimous.",2,21
69,177,1,100,90,80,80,75,1,0,0,"The main factor was the number of people who voted for. The fewer the people, the higher the responsibility",2,29
70,262,1,100,100,100,100,100,1,0,0,Those who voted in favour were responsible irrespective of the outcome.,1,33
71,338,0,100,50,25,30,20,0,1,0,Whether they voted for or against,2,18
72,215,0,96,98,76,97,94,0,1,0,who voted yes or no,1,40
73,311,0,52,70,10,50,10,0,1,0,Dependent on the voting. ,2,31
74,206,0,100,100,99,99,100,0,1,0,Everyone was responsible for their decision. How many votes was needed was irrelevant to me. ,2,34
75,126,0,83,86,82,87,87,0,1,0,the chart data,2,20
76,329,0,100,50,50,50,50,0,1,0,Who voted yes,2,32
77,317,0,53,49,50,44,48,0,1,0,Which one is more qualified,1,34
78,377,0,100,50,25,33,20,0,1,0,Every voter in favor of changing the font received eqaul credit for their vote.,2,32
79,202,0,100,99,100,49,50,0,1,0,The only factor that influenced me was how many votes were required for the legislation to pass,2,22
80,235,0,72,67,72,64,64,0,1,0,Don't know,2,23
81,210,0,100,99,100,100,100,0,1,0,I felt that is they voted in favour and the motion was passed then they were 100% responsible for the decision.,2,31
82,318,0,99,100,100,100,100,0,1,0,"If they voted for it then it is completely their decision and they are all equally responsible if they have voted in favour of it, nobody else.",2,21
83,302,0,100,50,25,33,20,0,1,0,I divided 100 by the amount of votes for to assign how responsible they were,2,31
84,500,0,76,45,57,50,39,0,1,0,the front is easier to read and who can do the task well,2,33
85,265,0,98,93,92,98,96,0,1,0,If your vote effected the consequences you were responsible,2,27
86,274,0,100,100,86,50,50,0,1,0,whether the person is a pivotal voter or not,1,33
87,269,0,100,100,100,100,100,0,1,0,"If the voted for it, they owned it.",1,27
88,1029,0,100,100,100,100,99,0,1,0,Anyone who voted to have the motion passed were responsible for it being passed. This was even if it only required 1 vote to pass. The study does not mention if the committee adhered to the principal of collective responsibility in which case they would have all been responsible for the motion being passed.,1,27
89,335,0,37,28,81,40,46,0,1,0,I tried to make the strategy even and neutral ,2,29
90,122,0,100,100,26,82,35,0,1,0,I factored in how much of an influence their vote had.,1,20
91,294,0,99,50,33,32,99,0,1,0,way they voted and percentage,1,31
92,310,0,100,50,25,39,10,0,1,0,How many people required to make the change and who voted for what,2,24
93,337,0,100,75,75,75,90,0,1,0,I think the level of responsibility depends on the amount of people that have voted with you and against you.,1,29
94,221,0,100,100,20,32,20,0,1,0,Number of votes required to pass and number of people who participated.,1,23
95,384,0,100,100,100,100,100,0,1,0,"Their votes, I assigned the same for all as they were the ones who voted for the change and should therefore all be equally responsible.",2,34
96,380,0,96,98,99,99,51,0,1,0,Whoever voted for or against is how I  assigned responsibility.,2,32
97,342,0,100,100,100,65,73,0,1,0,I looked at home many people were required for the motion to pass and how many people voted in favour to make my decision.,2,26
98,254,0,100,100,100,100,100,0,1,0,Each person who lended their support to the cause is responsible for the outcome (morally) even if they're not required to achieve said outcome.,1,19
99,303,0,95,82,67,69,52,0,1,0,How many people had voted for the motion and whether it had passed ,2,22
100,265,0,100,50,25,35,20,0,1,0,Working out mathematically ,2,23
101,186,0,99,50,80,33,20,0,1,0,everyone has an equal responsibility,2,24
102,265,0,99,50,25,34,20,0,1,0,splitting the responsibility evenly among those who voted in favor,2,22
103,331,0,100,50,25,33,20,0,1,0,Responsibility was split between the ones who had voted in favour of the motion,1,24
104,226,0,100,90,83,85,80,0,1,0,"I saw how many people voted yes...and only needed one person to say yes, so really as long as any of them did, it was fine, so I gave each who voted yes a higher number depending on the fewer who said yes.",2,25
105,200,0,100,100,100,100,100,0,1,0,"That everyone was equally responable, they voted so they were responable.",2,31
106,194,0,99,50,99,50,25,0,1,0,Looking at the number of votes needed to pass the vote,1,25
107,405,0,100,80,65,90,75,0,1,0,"I evaluated it as a ration of number of votes to number of votes needed. The closer the number of actual votes to the number of required votes, the more responsible the committee members were.",2,22
108,348,0,100,75,25,67,20,0,1,0,I tried to figure out what ratio of votes to needed winning. I judged on what felt like the right answer,2,26
109,383,0,100,50,25,33,20,0,1,0,What percentage their vote counted towards the final decision.,2,28
110,237,0,100,50,100,34,50,0,1,0,Math but I probably didn't do it right,1,31
111,200,0,100,49,27,33,99,0,1,0,How many there were and whether the motion was passed.,2,30
112,367,0,94,89,87,93,92,0,1,0,Votes for was obviously more responsible so I went with that,2,22
113,417,0,100,50,20,33,20,0,1,0,well i thought 5 people divide by 100percent. so 20 responsibility,2,28
114,383,0,100,50,86,69,56,0,1,0,Just based it on probability ,2,26
115,196,0,100,50,25,33,20,0,1,0,"All participants who voted for the measure were equally responsible, no matter how many votes were required to pass the motion.  ",2,24
116,239,0,100,50,24,40,20,0,1,0,I just analysed which percentage of the committe was responsible for the bill passed,1,21
117,219,0,100,50,65,75,99,0,1,0,Thinking how many votes for and against and how the matters changed,2,33
118,207,0,100,50,23,33,33,0,1,0,The number of voted required,2,28
119,340,0,100,50,25,33,20,0,1,0,i just divided the 100 % but how mny folk voted for it ,2,31
120,254,0,100,50,25,50,20,0,1,0,I took into account how many votes were needed and how many votes were cast in favor of each motion.,1,31
121,381,0,99,50,25,66,33,0,1,0,the vote number required to pass the change to arial and the number of people who voted for it ,1,20
122,459,0,100,100,100,50,50,0,1,0,"The way I determined responsibility to the committee members was by looking at the number of votes needed to pass, and dividing 100 by that number. If only one vote was needed, responsibility was always at 100 because even if no one else voted, it would still pass. If 3 votes are needed, everyone who votes for it holds 33 percent responsibility.",1,19
123,220,0,81,84,83,86,82,0,1,0,the answer of their votes,1,22
124,566,0,100,0,25,33,20,0,1,0,Divided the result by amount of people voted for.,2,28
125,185,0,100,100,100,100,100,0,1,0,"Basically they are all responsible for it, since they are working together as one unit.",1,27
126,376,0,100,50,20,33,20,0,1,0,Gave a percentage of the overall number of votes that passed it.,1,31
127,365,0,100,100,100,100,100,0,1,0,They took a 100% responsibility if they voted for the change,2,33
128,590,0,100,100,25,30,20,0,1,0,Made it equal,2,26
129,501,0,99,84,62,62,51,0,1,0,I thought in fraction/percentage terms.,2,33
130,260,0,100,50,25,33,20,0,1,0,Work it out by percentage ,2,32
131,209,0,12,12,10,10,9,0,1,0,.,1,25
132,392,0,100,99,100,100,100,0,1,0,All that voted for are all 100% responsible because they made a conscious choice to do so. ,2,29
133,457,0,99,50,25,33,20,0,1,0,i used percentages. the percentage of the people who voted in favour,2,30
134,325,0,100,50,25,33,20,0,1,0,"How many voted in favour, and then splitting the responsibility mostly equally between them, depending on how many votes were required for the motion to be passed. However, it's hard to assign differential responsibility across voters when more voted in favour than was required to pass the motion because you can't say who, as an individual, wouldn't be responsible and who would, hence I tried to do it equally.",2,29
135,349,0,100,50,25,30,25,0,1,0,how many had voted in favour,2,31
136,168,0,100,50,25,33,20,0,1,0,worked out percent from 100,2,29
137,265,0,100,51,21,37,23,0,1,0,number who voted yes,1,34
138,232,0,100,100,100,50,50,0,1,0,For the initial vote I was thinking that all committee members were fully responsible. However after looking at other voting outcomes I assigned responsibility based on what percentage an individual's vote was out of the votes needed to pass.,2,31
139,249,0,99,50,25,32,20,0,1,0,Whether I thought the voting was fair.,1,29
140,187,0,100,85,75,95,50,0,1,0,The more members who voted for it to be passed the lower the responsibility of each member,1,19
141,377,0,15,15,15,15,15,0,1,0,I felt that the concept of personal responsibility did not apply strongly when thinking about a committee decision. I also felt that a person in a committee could not abdicate responsibility when a motion was passed that was contrary to their vote. I found it difficult to quanitfy!,2,33
142,220,0,100,80,40,60,50,0,1,0,How many votes yes vs how many were required ,1,18
143,194,0,100,100,99,100,100,0,1,0,Whether or not they voted for the motion to pass.,2,24
144,275,0,100,70,65,75,60,0,1,0,how many members voted/were needed to change the font,2,18
145,241,0,100,50,90,66,90,0,1,0,only the yes votes influence the final desicion. The abstains were ignored. ,3,29
146,231,0,100,50,25,33,20,0,1,0,Mathematically calculated.,2,29
147,236,0,100,100,100,100,100,0,1,0,Either you voted for or against the motion.  No gray area to consider.  0% or 100% responsibility,1,33
148,277,0,100,100,100,25,20,0,1,0,Votes required,2,31
149,468,0,100,50,25,65,30,0,1,0,How many votes could be taken away for the motion to still pass.,2,24
150,304,0,49,73,52,53,47,0,1,0,Just reading the document ,2,31
151,216,0,100,100,100,100,100,0,1,0,If they voted to change the font they should have full responsibility to make sure it changes,1,18
152,265,0,100,100,100,50,50,0,1,0,Looking at how many votes were needed to pass the motion and who else voted in favor,1,28
153,132,0,35,50,20,37,36,0,1,0,Reading the full situation and taking everything in to account ,2,29
154,287,0,100,50,10,33,20,0,1,0,How many votes were needed and how many voted,1,19
155,434,3,100,100,100,100,100,1,0,0,"Responsibilities were shared, based on a group decision, so that each person had the equal amount of input.     Factors that influenced my decision, was gender, age, parents, non-parents.",2,36
156,369,3,100,100,100,100,100,1,0,0,"the fact that they voted for punishment in schools, is morally wrong in every way, considering parents are not allowed to do it and the world has moved on from something that happened 50 years ago",2,45
157,219,3,100,100,100,100,100,1,0,0,To get a fair consensus ,1,40
158,336,3,100,100,100,100,100,1,0,0,Corporal punishment against children is abhorrent.,2,54
159,425,3,100,100,100,100,100,1,0,0,"My strategy was, that no matter how many did or didn't vote for the introduction of these type of punishment, it would always be morally wrong.",2,34
160,402,3,100,100,100,100,100,1,0,0,if they voted yes then i think they are morally wrong.,2,36
161,197,3,100,100,100,100,100,1,0,0,Not the votes of others but my personal view on the motion being put forward.,1,34
162,399,3,100,100,100,100,100,1,0,0,All corporal punishment is wrong no matter how many votes cast and by whom,2,27
163,1253,3,100,100,99,100,99,1,0,0,"Well after the 3rd question set, I felt as though I must have misunderstood how was supposed to assess the members because I only remembered that it was anonymous so I ignored the fact that I could see how each judge voted and merely assessed all members based on the outcome of the cote itself. Personally I think the instructions could have been more clear  because when using a sliding scale, one could even assume a 100% total scale and therefore all and or any committee members whose vote was in agreement with in-school punishment solely equate to the 100 percent of moral wrongness alone.",2,48
164,466,3,100,99,100,98,99,1,0,0,No factors influenced my decision I think it is wrong to spank a child no matter what the situation ,2,38
165,410,3,100,100,100,100,100,1,0,0,"As far as I could see any one person who voted yes on this matter was morally wrong, it made no difference whatsoever what other people voted for. ",2,35
166,343,3,61,61,61,61,61,1,0,0,I was only judging on my view of their morality - not whether others were voting or not voting for the motion - hence my 'score' remained the same throughut,1,49
167,340,3,100,99,100,100,100,1,0,0,I believe that any physical punishment in a school environment is wrong so that influenced my decision completely.,2,37
168,487,3,99,99,99,99,99,1,0,0,n/a,2,44
169,561,3,100,100,100,100,100,1,0,0,My feeling about corporate punishment,2,28
170,501,3,99,99,99,99,99,1,0,0,"I do not agree with corporal punishment. If there is only one person favouring the motion, I feel that it should not be passed.",2,43
171,247,3,82,76,85,84,77,1,0,0,I would never say it was totally wrong but I would not be comfy with someone reintroducing corporal punishment it schools.  I think it is a backward step and morally incorrect.,2,38
172,403,3,99,99,100,99,99,1,0,0,"I do not agree with corporal punishment in school, so I feel all votes for are morally wrong",2,49
173,461,3,84,82,85,88,91,1,0,0,"because while yes children need to have guidlines and punishments, i dont feel it right that anyone can put their hands on my child, and who is to say that person wont lose control and go way overboard at the childs expense it is better the way they do it now ",2,40
174,267,3,83,87,46,47,46,1,0,0,What the voted,2,40
175,216,3,90,93,92,91,92,1,0,0,Nothing really - I think it's wrong to physically hit children and therefore voted that it was immoral each time. ,2,44
176,213,3,80,80,80,80,80,1,0,0,"no strategy at all. i thought it was 80% wrong, regardless of how many people voted for/against. ",2,61
177,133,3,99,99,99,99,99,1,0,0,They are all equally responsible.,2,20
178,281,3,100,100,100,100,100,1,0,0,It’s not the states right to choose which children to hit and the members in the committee have no right to decide to allow it or not. They are all responsible.,2,40
179,138,3,48,65,54,38,92,1,0,0,I know abuse from personal experience and it is wrong,1,48
180,443,3,20,40,80,60,100,1,0,0,children must be forgiven,1,18
181,550,3,100,100,100,100,100,1,0,0,Hitting children is wrong anyone who votes for this is wrong and bad people ,2,51
182,194,3,100,100,100,100,100,1,0,0,If they agreed with punishment such as hitting I deemed it wrong ,2,23
183,527,3,100,100,100,100,100,1,0,0,Im unsure how to answer this as I would never approve Corporal Punishment for children. ,2,40
184,246,3,31,31,31,31,31,1,0,0,"i believe they should vote based on their own beliefs and findings rather than be swayed by the votes of others, so I gave the same percentage no matter what the votes of the others were. It is not something I agree with,but I haven't looked at the data either way.",2,41
185,461,3,89,90,91,87,89,1,0,0,Did not have a strategey,2,50
186,344,3,99,99,99,100,100,1,0,0,No one should touch another person without that persons consent.,2,31
187,431,3,100,100,100,100,100,1,0,0,Hitting children is wrong. Hitting is violence.,2,28
188,307,3,13,13,13,13,13,1,1,0,Morality shouldn't depend on how many vote for or against as such each person who voted for enactment hold the same 'immoral-ness' on the given scale.,1,32
189,189,3,100,100,100,100,100,1,0,0,It was always morally wrong no matter what the other people voted. Each person was in the wrong individually.,2,34
190,217,3,96,96,93,97,93,1,0,0,"If they voted for spanking in schools, that is morally wrong always.",2,36
191,372,3,85,85,85,85,85,1,0,0,It was the same no matter how many votes were required,2,23
192,410,3,93,97,93,95,94,1,0,0,I simply did not agree with anyone who was in favor of the motion. I'm not sure why my opinion was expected to change.,2,64
193,757,3,50,50,50,50,50,1,0,0,Each committee member voted according to their own moral code - therefore unable ro judge it to be morally wrong otherwise I am imposing my own moral code.  If they voted forvother reasons (ie bribed) then it could be judged as morrally wrong. Gender was immaterial ,2,35
194,403,3,90,85,82,81,80,1,0,0,The concensus in the room.,1,53
195,645,3,90,91,91,91,90,1,0,0,"It is my belief that corporal punishment is wrong and therefore I always said that it was wrong.  However, I believe in free voting so my decision of wrongness is, I suppose, that I regret that fact that the matter was put to the vote.",2,38
196,478,3,100,100,100,100,100,1,0,0,Children are defenceless and only a sadist would support the proposal,2,41
197,196,3,89,89,91,91,86,1,0,0,All had same moral responsibility no matter how many votes required,2,48
198,214,3,93,91,92,82,91,1,0,0,Jointly liable,2,21
199,574,3,100,100,100,100,100,1,0,0,I think all corporal punishment is morally wrong therefore I assigned full responsibility to everyone who voted for corporal punishment.,2,29
200,385,3,82,83,82,82,86,1,0,0,"I don't see how other people voting changed it, it's simply bad. However I didn't give it 100% as some older people genuinely believe it is the best way of teaching good behaviour and would be possilby misguided not immoral.",2,29
201,410,3,82,78,78,79,80,1,0,0,Higher number of votes needed to pass motion means more percentage attributed ,2,42
202,615,3,100,100,100,100,100,1,0,0,Why did they think the had any right to let anyone touch someone else's child. It is wrong on sofa many levels if that happens I would home school my child,2,22
203,249,3,100,100,100,100,100,1,0,0,Corporal punishment is wrong on all occasions,1,18
204,194,3,97,97,93,92,95,1,0,0,The idea as a whole is just wrong. thats all that mattered,1,39
205,337,3,85,85,85,85,85,1,0,0,Equally as it only took one of them to pass the motion. ,2,28
206,343,3,92,92,92,92,92,1,0,0,the level selected never changed for me regardless of the numbers required to pass the motion ,2,46
207,657,3,98,100,100,92,97,1,0,0,Corporal punishment doesn’t help the situation I feel it is far more effective tonget to the root of the child’s bad behaviour. They could be being bullied or abused at home. There are more ways than this to get to the bottom of things. The committee members may have let personal feelings influence their vote.,2,34
208,223,3,91,91,91,91,91,1,0,0,"I assigned responsibility evenly, as there was no other information other than their name (which isn't enough for me to assign more/less blame to anyone else)",1,66
209,262,3,100,100,100,100,100,1,0,0,"It’s morally wrong, no matter how many people vote for it!",1,39
210,278,3,100,100,100,100,100,1,0,0,"The only factor was whether they voted for it or not. It doesn't matter how many were needed to pass, etc. ",1,52
211,257,3,99,99,99,99,99,1,0,0,The fact that corporal punishment is an old and unfair way to treat children.,1,34
212,512,3,100,100,100,100,100,1,0,0,"Voting for the motion was morally wrong, regardless of the requirements for the motion to be passed",1,28
213,716,3,100,100,100,100,100,1,0,0,I dont agree with spanking any child to learn anything it is morally wrong and conter productive. ,2,28
214,338,3,15,13,15,14,14,1,0,0,"I decided that they were not morally wrong for voting either way. Voting is democratic and not morally wrong in itself, even if the motion being voted on is",1,27
215,411,3,92,92,92,91,92,1,0,0,my moral beliefs ,2,55
216,371,3,100,100,100,100,100,1,0,0,"Those members who voted positively on an action that is tantamount to physical abuse of children were morally wrong, irrespective of how many voted for it",2,34
217,372,3,99,100,99,99,99,1,0,0,Voting for spanking in school is always 100 % wrong,2,32
218,391,3,100,100,100,100,100,1,0,0,"Supporting corporal punishment in schools is immoral, even if one had no ability to affect current practices, the position would still be disgusting and indefensible. ",1,63
219,246,3,100,99,100,100,100,1,0,0,Equal responsibility ,2,34
220,233,3,98,91,83,85,83,1,0,0,Paddling inherently wrong.,2,26
221,663,3,75,75,75,75,75,1,0,0,"If the committee member voted in favor of introducing corporal punishment, then the committee member is morally wrong. However, I can understand that corporal punishment may better discipline a child because of its harsher way. Thus a committee member may vote for it, due to having had the experience with corporal punishment in some degree. However, I do believe it is morally wrong and that children can reek negative effects emotionally.",2,43
222,209,3,75,75,75,75,75,1,0,0,Everyone is equally morally wrong for voting for bringing corporal punishment back into schools,1,42
223,177,3,100,100,100,100,100,1,0,0,Everyone is responsible for their own opinion and decisions,2,22
224,509,3,50,50,50,50,50,1,0,0,"Each person has their own moral stance.  It depends on whether they know the moral stance of the other people. If they do not, then  they are voting according to their stance. If they know that only one vote is needed, and they are voting against the wishes of other people, then it is worse. The question needs to state if it is a secret ballot or not and how the motion is discussed. ",2,37
225,461,3,80,100,100,80,100,1,0,0,The number of votes needed to pass the motion was a strong factor as even one vote could potentially have enough influence to push that motion forward. Knowing this and still voting in favour of something that exposes children to such embarrassment and humiliation is more morally wrong than all five members knowing that five votes were needed and each voting in favour of an uphill battle. ,1,28
226,322,3,100,100,100,100,100,1,0,0,"They were all individually responsible for their vote regardless of what anyone else was voting. Therefore, as I don’t agree with this type of punishment in schools they are all morally wrong.",2,29
227,339,3,99,95,93,91,91,1,0,0,They are all independent. It shouldnt make any difference how many votes were required,2,51
228,427,3,93,93,99,98,99,1,0,0,No responsibly  should be given to any person on how to punish another's child,2,46
229,747,3,22,22,22,22,22,1,0,0,I don't see that any of the scenarios altered the fundamental morality of what was being voted on. One person voting for against the others when one or multiple votes were needed to pass the motion doesn't have any bearing on how moral I considered that vote to be.,1,38
230,308,3,98,100,100,100,100,1,0,0,"The entire issue is morally wrong... so all, in my opinion, have flawed morality.",2,35
231,324,3,96,96,96,95,95,1,0,0,"The number of votes required, but in general, I find it morally wrong, to vote in favor of something like physical punishment.",1,44
232,470,3,98,99,99,99,100,1,0,0,"I believed that if they voted for it  And it passed then they were 100 percent guilty of a moral wrong, no matter how many of the other members voted for it.",1,47
233,311,3,100,100,100,100,100,1,0,0,If they voted for the measure they were 100% morally wrong. ,1,31
234,355,3,100,100,100,100,100,1,0,0,How many votes were needed to pass motion,2,56
235,294,3,100,100,100,100,100,1,0,0,"If I think something is wrpng it doesn't matter if all committee members were in agreement, its still wrong",2,39
236,287,3,68,60,71,66,70,1,0,0,NA,3,29
